FILIAL;NUMNOTA;SERIE;EMISSAO;CODCLI;CODPROD;QUANT;VLRUNIT;VLRTOTAL;CFOP;COND_PGTO
01;100001;1;01/01/2025;000091;PA00191;3;12,78;38,34;6102;28/35/42
01;100002;1;01/01/2025;000416;PA00241;4;32,42;129,68;5102;À VISTA
01;100003;1;01/01/2025;000253;PA00379;15;63,51;952,65;5102;30 DD
01;100004;1;01/01/2025;000200;PA00097;8;14,82;118,56;6102;28/35/42
02;500001;1;01/01/2025;000450;PA00524;1;23,53;23,53;6102;28/35/42
02;500002;1;01/01/2025;000371;PA00183;5;34,78;173,90;5102;28/35/42
02;500003;1;01/01/2025;000005;PA00318;13;31,82;413,66;6102;28/35/42
01;100005;1;01/01/2025;974603;PA00253;8;9,39;75,12;6102;À VISTA
01;100006;1;01/01/2025;000217;PA00157;4;34,49;137,96;5102;28/35/42
01;100007;1;01/01/2025;000080;PA00454;5;36,84;184,20;6102;À VISTA
01;100008;1;01/01/2025;000453;PA00337;4;73,77;295,08;5102;À VISTA
01;100009;1;01/01/2025;000196;PA00054;4;12,20;48,80;5102;À VISTA
01;100010;1;01/01/2025;000345;PA00574;3;51,63;154,89;5102;28 DD
01;100011;1;01/01/2025;000373;PA00375;6;33,73;202,38;5102;À VISTA
02;500004;1;01/01/2025;000087;PA00070;9;49,53;445,77;6102;28 DD
01;100012;1;01/01/2025;000495;PA00080;3;12,89;38,67;5102;30 DD
01;100013;1;01/01/2025;000282;PA00572;2;43,04;86,08;5102;À VISTA
01;100014;1;01/01/2025;000027;PA00392;4;23,20;92,80;5102;28/35/42
01;100015;1;01/01/2025;000264;PA00426;13;16,59;215,67;6102;28 DD
02;500005;1;01/01/2025;000007;PA00267;6;36,77;220,62;5102;28/35/42
01;100016;1;01/01/2025;000489;PA00600;3;55,58;166,74;5102;30 DD
01;100017;1;01/01/2025;000334;PA00317;2;49,92;99,84;6102;30 DD
02;500006;1;01/01/2025;000177;PA00023;3;32,86;98,58;5102;À VISTA
01;100018;1;01/01/2025;000399;PA00589;11;67,33;740,63;6102;À VISTA
01;100019;1;01/01/2025;000395;PA00184;6;10,61;63,66;6102;28 DD
01;100020;1;01/01/2025;000352;PA00024;11;5,53;60,83;6102;28/35/42
01;100021;1;01/01/2025;914544;PA00366;14;13,89;194,46;6102;28/35/42
01;100022;1;01/01/2025;000044;PA00049;4;56,14;224,56;5102;À VISTA
01;100023;1;01/01/2025;000427;PA00457;1;29,39;29,39;5102;À VISTA
01;100024;1;01/01/2025;000446;PA00171;1;25,60;25,60;5102;28 DD
01;100025;1;01/01/2025;000156;PA00476;5;10,82;54,10;5102;28/35/42
02;500007;1;01/01/2025;000180;PA00157;5;34,49;172,45;5102;28 DD
02;500008;1;01/01/2025;000187;PA00390;3;72,77;218,31;5102;28/35/42
01;100026;1;01/01/2025;000126;PA00045;3;52,61;157,83;5102;À VISTA
02;500009;1;01/01/2025;000466;PA00242;13;20,33;264,29;6102;28/35/42
02;500010;1;01/01/2025;000261;PA00582;1;55,08;55,08;6102;28/35/42
01;100027;1;01/01/2025;000356;PA00407;2;8,91;17,82;5102;À VISTA
01;100028;1;01/01/2025;000302;PA00040;4;38,81;155,24;6102;28/35/42
01;100029;1;01/01/2025;000043;PA00088;18;31,48;566,64;6102;28 DD
01;100030;1;01/01/2025;000035;PA00389;4;33,45;133,80;6102;À VISTA
01;100031;1;01/01/2025;000068;PA00108;12;14,97;179,64;5102;À VISTA
01;100032;1;01/01/2025;000248;PA00109;3;27,79;83,37;6102;28 DD
01;100033;1;01/01/2025;000312;PA00129;3;13,95;41,85;6102;28/35/42
01;100034;1;01/01/2025;000498;PA00535;5;39,46;197,30;5102;28 DD
01;100035;1;01/01/2025;000449;PA00075;7;51,01;357,07;5102;28 DD
01;100036;1;01/01/2025;000368;PA00315;10;57,17;571,70;5102;30 DD
02;500011;1;01/01/2025;000179;PA00198;20;20,84;416,80;6102;28/35/42
01;100037;1;01/01/2025;000156;PA00518;1;36,52;36,52;5102;28 DD
01;100038;1;01/01/2025;000350;PA00251;15;20,31;304,65;6102;28/35/42
01;100039;1;01/01/2025;000156;PA00383;1;42,06;42,06;5102;28/35/42
02;500012;1;01/01/2025;000383;PA00432;1;24,59;24,59;6102;30 DD
02;500013;1;01/01/2025;000364;PA00203;5;23,83;119,15;5102;À VISTA
01;100040;1;01/01/2025;000053;PA00515;1;43,11;43,11;5102;30 DD
01;100041;1;01/01/2025;000401;PA00110;5;23,91;119,55;5102;À VISTA
02;500014;1;02/01/2025;000421;PA00543;9;11,78;106,02;5102;28 DD
02;500015;1;02/01/2025;000164;PA00094;1;32,50;32,50;6102;30 DD
02;500016;1;02/01/2025;000170;PA00090;10;12,34;123,40;6102;28/35/42
01;100042;1;02/01/2025;000417;PA00237;1;33,45;33,45;6102;28/35/42
01;100043;1;02/01/2025;000080;PA00500;6;15,00;90,00;6102;30 DD
01;100044;1;02/01/2025;000352;PA00067;19;39,08;742,52;5102;28/35/42
01;100045;1;02/01/2025;000258;PA00103;12;30,76;369,12;6102;30 DD
